key,en,br,es,pr
SECRET2-10,For twenty years I've been amassing power. Now I've choosen you to test my strength against.,Por vinte anos estive acumulando poder e escolhi você para testar minha força.,Durante veinte años he estado acumulando poder. Ahora te he elegido a ti para poner a prueba mi fuerza.,Por vinte anos estive acumulando poder e escolhi você para testar minha força.
SECRET2-17,I wish I had something to reward you. The best I can offer you are my thanks.,Infelizmente não tenho nada para lhe recompensar além dos meus agradecimentos.,Desearía tener algo para recompensarte. Lo mejor que puedo ofrecerte son mis agradecimientos.,Infelizmente não tenho nada para lhe recompensar além dos meus agradecimentos.
SECRET2-16,You fought this duel beautifully. You really are the strongest robot in this world. ,Você lutou bravamente. De fato você é o robô mais poderoso deste mundo.,Luchaste este duelo de manera impresionante. Realmente eres el robot más fuerte en este mundo.,Você lutou bravamente. De fato você é o robô mais poderoso deste mundo.
SECRET2-15,"The kindness, love and respect that you possess in your heart makes you even more powerful.","A compaixão, o amor e o respeito que você possui em seu coração o fazem poderoso.","La bondad, el amor y el respeto que posees en tu corazón te hacen aún más poderoso.","A compaixão, o amor e o respeito que você possui em seu coração o fazem poderoso."
WPNUP_ACT,wheel up,roda cima,Rueda Arriba,roda cima
SECRET2-14,I honestly thought I was strong enough to defeat you. I was wrong.,Eu sinceramente pensei que poderia derrota-lo. Eu estava errado.,"Honestamente, pensé que era lo suficientemente fuerte para derrotarte. Me equivoqué.",Eu sinceramente pensei que poderia derrota-lo. Eu estava errado.
SECRET2-19,"For now, farewell!","Por enquanto, adeus!","¡Por ahora, adiós!","Por enquanto, adeus!"
SECRET2-18,"Mega Man X. We shall meet again, in some other place...","Mega Man X. Nos encontraremos de novo, em algum outro lugar...","Mega Man X. Nos encontraremos de nuevo, en algún otro lugar...","Mega Man X. Nos encontraremos de novo, em algum outro lugar..."
<!MissingKey:42:Jakob Elevator>,Jakob Elevator,Elevador Orbital Jakob,Elevador Orbital Jakob,Morro do Papagaio
<!MissingKey:43:Defeated the Impostor without using special weapons.>,Defeated the Impostor without using special weapons.,Derrotou o Impostor sem usar armas especiais.,Derrotaste al Impostor sin utilizar armas especiales.,Derrotou o Impostor sem usar armas especiais.
<!MissingKey:44:Defeated Vile without equipping any upgrades.>,Defeated Vile without equipping any upgrades.,Derrotou Vile sem equipar nenhuma melhoria.,Derrotaste a Vile sin equipar ninguna mejora.,Derrotou Vile sem equipar nenhuma melhoria.
DEFEATEDALL_DISC,Defeated all eight Maverick Bosses.,Derrotou os oito Mavericks.,Derrotaste a los 8 Jefes.,Derrotou os oito Mavericks.
ICARUSBODY_DISC,Immune to knockback.,Não é empurrado ao tomar dano.,Tiros cargados no consumen munición.,Não é empurrado ao tomar dano.
<!MissingKey:47:Booster Forest>,Booster Forest,Floresta Ergânica,Bosque Amplificador,Paudalho
INTRO1-3,"This plan is called the ""Jakob Project"" and an Orbital Elevator was built as part of it.",,,
<!MissingKey:49:Don't Attach Labels to Me>,Don't Attach Labels to Me,,,
YETI_NAME,Avalanche Yeti,Avalanche Yeti,Avalanche Yeti,Aval Lanches e Vet.
INTRO1-2,"Humans however have begun migration to the moon, thanks to new technology.",,,
<!MissingKey:52:Shadow Tactics>,Shadow Tactics,,,
INTRO1-1,"In the year 21XX, the endless Maverick rebellions continue.",,This dialog has been potentially cut?,
GIGACRUSHKILL_DISC,Finished a Boss with Gigacrush.,Finalizou um Boss usando o Gigacrush.,Derrotaste a un Jefe usando el Gigacrush.,Finalizou um Boss usando o Gigacrush.
OPTIONS_ABV,OPTIONS,OPÇÕES,OPCIONES,CUIDADO PRA NÃO ZOAR
<!MissingKey:56:Let My Blade Show You>,Let My Blade Show You,,,
INTRO1-5,"However, a sudden accident is bound to change the destiny of all involved...",,,
INTRO1-4,Highly advanced new generation Reploids have been brought to the moon's surface to work.,,,
YETI1,I will not let you get in our way.,Não deixarei você entrar em nosso caminho.,No permitiré que te interpongas en nuestro camino.,UGA BUGA.
<!MissingKey:60:Defeated Earthrock Trilobyte without equipping any upgrades.>,Defeated Earthrock Trilobyte without equipping any upgrades.,Derrotou Earthrock Trilobyte sem equipar nenhuma melhoria.,Derrotaste a Earthrock Trilobyte sin equipar ninguna mejora.,Derrotou Earthrock Trilobyte sem equipar nenhuma melhoria.
YETI2,Avalanche Yeti! What do you think you're doing?,Avalanche Yeti! O que pensa que está fazendo?,¡Avalanche Yeti!¿Qué crees que estás haciendo?,Aval Lanches! O que pensa que está fazendo?
YETI3,We no longer consider your world to be ideal. You old model Reploids have no business here.,Seu mundo não é mais considerado ideal para nós. Dê o fora daqui.,Ya no consideramos que tu mundo sea ideal. Los Reploides de modelo antiguo como tú no tienen nada que hacer aquí.,BUGA UGA.
KEYCFG_ABV,KEYCFG,CONFIG,CONFIG,CONFIG
YETI4,"No way! If we don't repair this system, the world's ecological balance is at risk!","De jeito nenhum! Se não repararmos este sistema, o balanço ecológico do mundo estará ameaçado!","¡De ninguna manera! ¡Si no reparamos este sistema, el equilibrio ecológico del mundo está en peligro!","De jeito nenhum! Se não repararmos este sistema, o balanço ecológico do mundo estará ameaçado!"
YETI5,"Hmpf. It's too late, X. You and your puny Maverick Hunters have lost!","Hmpf. É tarde demais, X. Você e seus amiguinhos Caçadores de Mavericks já eram!","Hmpf. Es demasiado tarde, X. ¡Tú y tus insignificantes Cazadores de Mavericks han perdido!",UGA BUGA UGA!
FPS_OPTION,Target FPS,FPS Alvo,FPS Objetivo,Seu PC não tanka
TRILOBYTE_WPNMENU,C. Bouncer,C. Bouncer,C. Bouncer,
LANGUAGE_OPTION,Language,Idioma,Idioma,Idioma
<!MissingKey:69:Thunder Dancer>,Thunder Dancer,,,
"<!MissingKey:70:And we're all counting on you! Crush them all, X!>","And we're all counting on you! Crush them all, X!","E todos estamos contando com você! Acabe com eles, X!",,
<!MissingKey:71:Defeated the Intro Stage Boss.>,Defeated the Intro Stage Boss.,Derrotou o Boss da Fase Inicial.,Derrotaste al Jefe del Nivel Introductorio.,Derrotou o Boss da Fase Inicial.
<!MissingKey:72:Of Course I'm Ok>,Of Course I'm Ok,,,
ANTONION6,"At any rate, if you choose to stand in my way, I'll destroy you!","De qualquer forma, se você escolher se por no meu caminho eu irei lhe destruir!","De cualquier forma, si eliges interponerte en mi camino, ¡Te destruiré!","Eu só quero saber onde é a saída homem, como você sequer veio parar aqui?"
<!MissingKey:74:Defeated Bamboo Pandamonium without taking damage.>,Defeated Bamboo Pandamonium without taking damage.,Derrotou Bamboo Pandamonium sem tomar dano.,Derrotaste a Bamboo Pandamonium sin recibir daño.,Derrotou Bamboo Pandamonium sem tomar dano.
ANTONION5,"Maverick? Once again, you attach labels to me. What arrogance!",Maverick? Mais uma vez você tenta me rotular. Quanta arrogância!,"¿Maverick? Una vez más, intentas catalogarme. ¡Qué arrogancia!","Mas que caralhos, cê não tá me escutando não?"
ANTONION4,Did he... Did Sigma make you go Maverick?,Será que... Sigma te transformou em um Maverick?,¿Acaso el... Sigma te hizo volverte Maverick?,Será que... Sigma te transformou em um Maverick?
ANTONION3,I don't pursue my research just to earn praise from the likes of you.,Eu não realizo minha pesquisa para ganhar elogios de gente como você.,No realizo mi investigación solo para ganar elogios de alguien como tú.,Eu sou uma porra de uma formiga e tou perdido nessa fase há mais de 2 anos.
SKIP_DIAG_OPTION,Skippable Dialogs,Diálogos Puláveis,Diálogos Omitibles,Não gosto de ler
ANTONION2,Incredible scientist? Who are you to say such things?,Incrível cientista? Quem é você pra dizer isso?,¿Científico increíble ? ¿Quién eres tú para decir tales cosas?,"Senhor, eu não sei se percebeu mais não sou um cientista."
ANTONION1,Gravity Antonion... You used to be an incredible scientist. What happened?,Gravity Antonion... Você costumava ser um incrível cientista. O que aconteceu?,Gravity Antonion... Solías ser un científico increíble. ¿Qué sucedio?,Toninho Tanajura...  Você costumava ser um incrível cientista. O que aconteceu?
<!MissingKey:81:Hades>,Hades,,,
<!MissingKey:82:I Supose You're Satisfied>,I Supose You're Satisfied,,,
ICARUSHEAD_NAME,Head Parts I,,Parte de Cabeza I,Par de Chifres I
ARMORSETUP_TITLE,Armor Setup,Armadura,Armadura,Fashion Souls
RESET_ACHIEV,Clear Achievements Progress,Apagar Progresso Conquistas,Borrar Progreso de Logros,Apagar Progresso Conquistas
PANDARIDEREACHED_DISC,Reached the end of Booster Forest with the Cyclops.,Chegou ao final da Floresta Ergânica com a Cyclops.,Llegaste al final del Bosque Amplificador con el Cíclope.,Chegou ao final da Floresta Ergânica com a Cyclops.
<!MissingKey:87:Used DebugMode.>,Used DebugMode.,Usou Modo Debug.,Usaste Modo Debug. ,Usou Modo Debug.
<!MissingKey:88:Not After Praise>,Not After Praise,,,
<!MissingKey:89:Labeled Maverick>,Labeled Maverick,,,
<!MissingKey:90:Defeated Burn Rooster without equipping any upgrades.>,Defeated Burn Rooster without equipping any upgrades.,Derrotou Burn Rooster sem equipar nenhuma melhoria.,Derrotaste a Burn Rooster sin equipar mejoras.,Derrotou Burn Rooster sem equipar nenhuma melhoria.
DEFAULTBODY_DISC,Default part.,Parte padrão.,Parte Estandar,Parte padrão.
VILEDEVILBEARDEFEATED_DISC,Defeated Devil Bear before finishing the battle.,Derrotou Devil Bear antes de terminar a luta.,Derrotaste a Devil Bear antes de terminar la batalla.,Derrotou Devil Bear antes de terminar a luta.
SUNFLOWERGOTSSSRANK_TITLE,Gravity Circuit,,,
<!MissingKey:94:Put an end to the darkness in Pitch Black.>,Put an end to the darkness in Pitch Black.,Pôs um fim a escuridão do Arsenal Soturno.,Pusiste fin a la oscuridad en Oscuridad Total.,Pôs um fim a escuridão do Arsenal Soturno.
<!MissingKey:95:Shining In The Darkness>,Shining In The Darkness,,,
<!MissingKey:96:Sole Purpose To Destroy>,Sole Purpose To Destroy,,,
OPTIONS_TITLE,OPTIONS,OPÇÕES,OPCIONES,OPÇÕES
HERMESBODY_NAME,Body Parts H,Body Parts H,Parte de Cuerpo H,Petcholas H
OFF_VALUE,OFF,Desl.,OFF,Desl.
<!MissingKey:100:Defeated Gigabolt Manowar without taking damage.>,Defeated Gigabolt Manowar without taking damage.,Derrotou Gigabolt Manowar sem tomar dano.,Derrotaste a Gigabolt Manowar sin recibir daño.,Derrotou Gigabolt Manowar sem tomar dano.
OPTIONS_START,OPTION MODE,MODO OPÇÕES,MODO DE OPCIONES,MEXER NUNS TRECO
<!MissingKey:102:Defeated Earthrock Trilobyte without using special weapons.>,Defeated Earthrock Trilobyte without using special weapons.,Derrotou Earthrock Trilobyte sem usar armas especiais.,Derrotaste a Earthrock Trilobyte sin usar armas especiales.,Derrotou Earthrock Trilobyte sem usar armas especiais.
HERMESARMS1,"X... I thought something like this might happen someday, so I've prepared parts for you.","X... Imaginei que algo assim poderia acontecer, então preparei partes para você.","X... Pensé que algo así podría suceder algún día, así que he preparado partes para ti.","X... Eu acho que exagerei, no tanto de cápsulas que escondi desta vez."
DEFAULTLEGS_DISC,Default part. Can air dash.,Parte padrão. Dash aéreo.,Parte Estandar. Dash Aéreo,Parte padrão. Dash aéreo.
LOADOUT_DISC,Choose your loadout.,Escolha sua armadura,Elige Tu Armadura,3 por 15
ICARUSHEAD2,Here you are... Head Parts I.,Tome este capacete... Head Parts I.,Aqui tienes... Parte de Cabeza I.,Adorne sua cabeça com esse Par de Chifres I.
DEFAULTBODY_NAME,Defaul Body,Peitoral Padrão,Peto Estandar,Petcholas Padrão
ICARUSHEAD3,"With this part equipped, you will cause damage to enemies by jumping near them.",Com esta parte equipada você causará dano ao pular próximo de inimigos.,"Con esta parte equipada, causarás daño a los enemigos al saltar cerca de ellos.",Com esta parte equipada você causará dano ao pular próximo de inimigos.
HERMESARMS5,"Board the capsule to equip this new ability, X.","Entre na cápsula para equipar esta nova habilidade, X.","Entra a la cápsula para equipar esta nueva habilidad, X.",Vô lá que a chuva vêm aí e minhas roupas tão no varal.
SURFEDONMISSILE_DISC,Surfed through the skies for 6 seconds.,Surfou os céus por 6 segundos.,Surfeaste por los cielos durante 6 segundos.,Surfou os céus por 6 segundos.
<!MissingKey:111:It's Too Late>,It's Too Late,,,
YETI_WPNMENU,D. Diamond,D. Diamond,D. Diamond,
<!MissingKey:113:Destroy... The old... world... New age...!>,Destroy... The old... world... New age...!,Destruir... O mundo... Nova era...!,,
<!MissingKey:114:Ahrrgh!>,Ahrrgh!,Ahrrgh!,,
MADE_BY,A solo project by,Um projeto solo por,Un proyecto hecho solo por,A poha toda feita por:
SUNFLOWER_WPNMENU,O. Shield,O. Shield,O. Shield,
<!MissingKey:117:Impossible! How... could you... You couldn't...! >,Impossible! How... could you... You couldn't...! ,Impossível! Como... você... Não...!,This dialog has been cut.,
VILE2-6,"Mayhem, doom and destruction! That's what we were built for!","Caos, ruína e desespero! Foi para isso que fomos construídos!","¡Caos, destrucción y ruina! ¡Para eso fuimos construidos!","Qué saber? Fiquei puto, vou lhe dar é uma coça agora pra você aprender a ser gente!"
VILE2-4,"Look around you, fool! Your world has already begun to crumble!  Are you so dim as to think you're in a position to make demands?","Olhe a sua volta, idiota! Seu mundo já começou a desmoronar e você ainda pensa que pode fazer exigências?","¡Mira a tu alrededor, idiota! ¡Tu mundo ya ha comenzado a desmoronarse! ¿Eres tan tonto como para pensar que estás en posición de hacer demandas?",Parece que é abestado.
VILE2-5,The world as you know it? Mavericks? Kiss it all goodbye!,O mundo que você conhecia? Mavericks? Pode dar adeus a tudo isso!,¿El mundo tal como lo conoces? ¿Mavericks? ¡Dile adiós a todo eso!,"Toda hora fica nessa, parece disco arranhado!"
FULLSCREEN_OPTION,Fullscreen,Tela Cheia,Pantalla Completa,Cobrir tudo
VILE2-2,I'm through chasing you down. Let Lumine go. Now!,Cansei de perseguir você. Liberte Lumine. Agora!,Me cansé de perseguirte. ¡Deja ir a Lumine. Ahora!,Cansei de perseguir você. Liberte Lumine. Agora!
VILE2-3,"Ha ha ha... Lumine? Always the positive thinker, aren't you?","Ha ha ha... Lumine? Sempre pensando positivo, né?","Ja ja ja... ¿Lumine? Siempre el pensador positivo, ¿Verdad?","Marrapaiz, a cada dia que passa cê parece que fica é mais ignorante."
HERMESLEGS_DISC,Ground dash is immune to damage,Dash no chão é imune a dano.,Dash por el suelo es inmune al daño.,Dash no chão é imune a dano.
VILE1-1,Vile!,Vile!,Vile!,Vile!
HERMESBODY4,"Board the capsule to equip this new ability, X.","Entre na cápsula para equipar esta nova habilidade, X.","Entra a la cápsula para equipar esta nueva habilidad, X.",Vô lá que a chuva vêm aí e minhas roupas tão no varal.
SURFEDONMISSILE_TITLE,Bomb Rush Cyberfunk,,,
HERMESLEGS2,Try out these Foot Parts H.,Teste essas botas... Foot Parts H.,"Toma, prueba estas Parte de Botas H.",Teste esses Saltos H.
SUNFLOWER6,No one has the right to put a stop to our plans!,Ninguém tem o direito de deter os nossos planos!,¡Nadie tiene derecho a detener nuestros planes!,"Mas se funciona, né? Fazer o quê. Segue o baile..."
HERMESLEGS3,"It will grant your dash invincibility to enemy attacks, but only while on the ground.",Elas lhe concederão invencibilidade total a ataques inimigos durante o Dash no chão.,"Durante el Dash te dara invencibilidad contra los ataques enemigos, pero solo mientras estés en el suelo.",Elas lhe concederão invencibilidade total a ataques inimigos durante o Dash no chão.
ENDING2-4,Roger... ,Entendido... ,Entendido...,Parabéns por ter terminado essa caralha!
SUNFLOWER4,"Sorry to disappoint, but no one can control us.","Desculpe desapontá-lo, mas ninguém pode nos controlar.","Siento decepcionarte, pero nadie puede controlarnos.","Pois é né, a porra desses jogos todos têm o mesmo plot."
ENDING2-3,I'm headed back now... ,Estou retornando agora... ,Ahora voy de regreso...,"X7 demake é o caralho, vão fazer vocês essa desgraça!"
HERMESBODY1,"X... I thought something like this might happen someday, so I've prepared parts for you.","X... Imaginei que algo assim poderia acontecer, então preparei partes para você.","X... Pensé que algo así podría suceder algún día, así que he preparado partes para ti.","X... Eu acho que exagerei, no tanto de cápsulas que escondi desta vez."
SUNFLOWER5,"We may not be the good guys, but we're no monsters.","Talvez nós não sejamos os mocinhos, mas com certeza não somos monstros.","Quizás no seamos los buenos, pero no somos monstruos.",Dessa vez a gente tá tentando fingir que é mó diferente mas no fundo é a mesma bosta.
ENDING2-2,The enemy... Has been dealt with.,A missão... foi concluída.,El enemigo... Ha sido eliminado.,"Terminei essa merda, quem tiver achando ruim, chupa um canavial de rola!"
SUNFLOWER2,You must have an inkling as to what we're after here.,Então me diga... O que você acha que estamos buscando?,Debes tener una idea de lo que estamos buscando aquí.,Então me diga... O que você acha que estamos buscando?
ENDING2-1,This is X... ,Aqui é o X...,Aquí X...,"Aqui é o X, porra!"
ACTION_CTG,Action,Ação,Acción,Ação
SUNFLOWER3,"You Mavericks... You're under Sigma's control, aren't you?","Vocês Mavericks... Estão todos sob o controle de Sigma, não é?","Ustedes los Mavericks... Están bajo el control de Sigma, ¿verdad?","Vocês Mavericks... Estão todos sob o controle de Sigma, não é?"
SUNFLOWER1,"X... Since you made it this far, you must have figured it out.","X... Se você chegou até aqui, suponho que deve ter entendido o que está acontecendo.","X... Dado que has llegado hasta aquí, debes haberlo descubierto.","X... Se você chegou até aqui, suponho que deve ter entendido o que está acontecendo."
COLLECTFULLICARUS_DISC,Collected All Icarus Parts.,Coletou todas as partes da Icarus.,Recolectaste todas las partes de la Armadura Icarus.,Coletou todas as partes da Icarus.
LIGHT_VALUE,Light,Leve,Tenue,Levin
<!MissingKey:144:Blast Launcher>,Blast Launcher,,,
<!MissingKey:145:No One Can Control Us>,No One Can Control Us,,,
<!MissingKey:146:Primrose>,Primrose,Laboratório Primula,Laboratorio Primavera,Chorrochó
<!MissingKey:147:Squeeze Bomb>,Squeeze Bomb,,,
SIGMA12,"Now, X... You will be destroyed along with the rest of this decayed world!","Agora, X... Você será destruído junto com esse seu mundo decaído!","¡Ahora, X... Serás destruido junto con el resto de este mundo en decadencia!","Ratománocu, já cansei de você. Enfia um peixe no cu e diz que é sereia, porra!"
SIGMA11,Wallow in despair and hopelessness! You are powerless in the face of the ruler of the new world!,Sinta a angústia e o desespero! Você é impotente perante o rei do novo mundo!,¡Sumérgete en la desesperación y la impotencia! ¡No tienes poder ante el gobernante del nuevo mundo!,Só fica aí falando bosta com esse seu bafo de bunda e depois parte pra ignorância.
SIGMA10,The Jakob Project... The program that gave birth to the new generation Reploids... It only happened because of me!,O Projeto Jakob... O programa que deu origem aos Reploids de nova geração... Se deu por minha causa!,El Proyecto Jakob... El programa que dio origen a los Reploides de nueva generación... ¡Solo sucedió gracias a mí!,Viu? Quê que tem a ver o cu com as calças?
<!MissingKey:151:Dual Destinies>,Dual Destinies,,,
HERMESHEAD4,"Board the capsule to equip this new ability, X.","Entre na cápsula para equipar esta nova habilidade, X.","Entra a la cápsula para equipar esta nueva habilidad, X.",Vô lá que a chuva vêm aí e minhas roupas tão no varal.
HERMESHEAD1,"X... I thought something like this might happen someday, so I've prepared parts for you.","X... Imaginei que algo assim poderia acontecer, então preparei partes para você.","X... Pensé que algo así podría suceder algún día, así que he preparado partes para ti.","X... Eu acho que exagerei, no tanto de cápsulas que escondi desta vez."
<!MissingKey:154:Defeated Sigma without taking damage.>,Defeated Sigma without taking damage.,Derrotou Sigma sem tomar dano.,Derrotaste a Sigma sin recibir daño.,Derrotou Sigma sem tomar dano.
HERMESBODY_DISC,Buster hits heal damage taken.,Acertar Buster cura dano tomado.,Los golpes del Buster curan el daño recibido.,Acertar Buster cura dano tomado.
HERMESHEAD3,This part will increase your weapons' charge speed when equipped.,Este capacete irá acelerar o tempo de carregamento da sua Buster.,Esta casco aumentará la velocidad de carga de tu Buster cuando esté equipado.,Este capacete irá acelerar o tempo de carregamento da sua Buster.
HERMESHEAD2,"This time, I want you to try Head Parts H.","Desta vez, quero que teste este capacete... Head Parts H.","Esta vez, quiero que pruebes la Parte de Cabeza H.",Desta vez fiz algo que dá certin... Par de Chifres H.
LEFT_ACT,left,esquerda,Izquierda,esquerda
<!MissingKey:159:Defeated Gravity Antonion without equipping any upgrades.>,Defeated Gravity Antonion without equipping any upgrades.,Derrotou Gravity Antonion sem equipar nenhuma melhoria.,Derrotaste a Gravity Antonion sin equipar ninguna mejora.,Derrotou Gravity Antonion sem equipar nenhuma melhoria.
DEFAULTHEAD_NAME,Default Head,Capacete Padrão,Casco Estandar,Chifres Padrão
<!MissingKey:161:You get>,You get,Você obteve,Obtienes,Você Afanou
MANOWAR_NAME,Gigabolt Manowar,Gigabolt Manowar,Gigabolt Manowar,Geléia Manauara
<!MissingKey:163:Defeated any of the Maverick Bosses.>,Defeated any of the Maverick Bosses.,Derrotou qualquer um dos Bosses.,Derrotaste a cualquiera de los Jefes.,Derrotou qualquer um dos Bosses.
<!MissingKey:164:Do You Have What it Takes?>,Do You Have What it Takes?,,,
MANOWAR_WPNMENU,T. Dancer,T. Dancer,T. Dancer,
<!MissingKey:166:Defeated Sigma without equipping any upgrades.>,Defeated Sigma without equipping any upgrades.,Derrotou Sigma sem equipar nenhuma melhoria.,Derrotaste a Sigma sin equipar mejoras.,Derrotou Sigma sem equipar nenhuma melhoria.
HERMESARMS_NAME,Buster Parts H,Buster Parts H,Partes de Buster H,Berro H
DEBUGACHIEVTITLE,Locked Achievement…,Conquista Bloqueada…,Logro Bloqueado...,Conquista Bloqueada…
HERMESLEGS4,"Board the capsule to equip this new ability, X.","Entre na cápsula para equipar esta nova habilidade, X.","Entra a la cápsula para equipar esta nueva habilidad, X.",Vô lá que a chuva vêm aí e minhas roupas tão no varal.
<!MissingKey:170:Reached the end of Primrose without rotating the Stage or dying.>,Reached the end of Primrose without rotating the Stage or dying.,Chegou ao final do Laboratório Primula sem girar a fase nem morrer.,Llegaste al final del nivel Primavera sin voltear el escenario or morir.,Chegou ao final do Laboratório Primula sem girar a fase nem morrer.
X_WPNMENU,X. Buster,X. Buster,X. Buster,Limão
HERMESBODY3,"With this part equipped, you will be able to heal damage taken by hitting or destroying enemies.",Com esta parte equipada você será capaz de recuperar vida ao acertar um inimigo logo após receber dano.,"Con esta parte equipada, podrás curar el daño recibido golpeando o destruyendo enemigos con tu Buster.",Com esta parte equipada você será capaz de recuperar vida ao acertar um inimigo logo após receber dano.
HERMESBODY2,Here... Try Body Parts H.,Aqui está... Este peitoral chama-se Body Parts H.,Toma...  Este peto es la Parte de Cuerpo H.,Pegue na minha parte... Petcholas H.
HERMESLEGS1,"X... I thought something like this might happen someday, so I've prepared parts for you.","X... Imaginei que algo assim poderia acontecer, então preparei partes para você.","X... Pensé que algo así podría suceder algún día, así que he preparado partes para ti.","X... Eu acho que exagerei, no tanto de cápsulas que escondi desta vez."
<!MissingKey:175:Never Thought Yourself?>,Never Thought Yourself?,,,
<!MissingKey:176:Old Heaps of Junk>,Old Heaps of Junk,,,
<!MissingKey:177:Pitch Black>,Pitch Black,Arsenal Soturno,Oscuridad Total,Santa Rita do Passa Quatro
MANTIS_WPNMENU,D. Arrow,D. Arrow,D. Arrow,
