key,en,br,es,pr
GIGACRUSHKILL_DISC,Finished a Boss with Gigacrush.,,,
OPTIONS_ABV,OPTIONS,OPÇÕES,OPCIONES,CUIDADO PRA NÃO ZOAR
<!MissingKey:55:Let My Blade Show You>,Let My Blade Show You,,,
INTRO1-5,"However, a sudden accident is bound to change the destiny of all involved...",,,
INTRO1-4,Highly advanced new generation Reploids have been brought to the moon's surface to work.,,,
YETI1,I will not let you get in our way.,Não deixarei você entrar em nosso caminho.,No permitiré que te interpongas en nuestro camino.,
<!MissingKey:59:Defeated Earthrock Trilobyte without equipping any upgrades.>,Defeated Earthrock Trilobyte without equipping any upgrades.,,,
YETI2,Avalanche Yeti! What do you think you're doing?,Avalanche Yeti! O que pensa que está fazendo?,¡Avalanche Yeti!¿Qué crees que estás haciendo?,
YETI3,We no longer considers your world to be ideal. You old model Reploids have no business here.,Seu mundo não é mais considerado ideal para nós. Dê o fora daqui.,Ya no consideramos que tu mundo sea ideal. Los Reploides de modelo antiguo como tú no tienen nada que hacer aquí.,
KEYCFG_ABV,KEYCFG,CONFIG,CONFIG,CONFIG
YETI4,"No way! If we don't repair this system, the world's ecological balance is at risk!","De jeito nenhum! Se não repararmos este sistema, o balanço ecológico do mundo estará ameaçado!","¡De ninguna manera! ¡Si no reparamos este sistema, el equilibrio ecológico del mundo está en peligro!",
YETI5,"Hmpf. It's too late, X. You and your puny Maverick Hunters have lost!","Hmpf. É tarde demais, X. Você e seus amiguinhos Caçadores de Mavericks já eram!","Hmpf. Es demasiado tarde, X. ¡Tú y tus insignificantes Cazadores de Mavericks han perdido!",
FPS_OPTION,Target FPS,FPS Alvo,FPS Objetivo,Seu PC não tanka
TRILOBYTE_WPNMENU,C. Bouncer,C. Bouncer,C. Bouncer,
LANGUAGE_OPTION,Language,Idioma,Idioma,Lingua
<!MissingKey:68:Thunder Dancer>,Thunder Dancer,,,
"<!MissingKey:69:And we're all counting on you! Crush them all, X!>","And we're all counting on you! Crush them all, X!","E todos estamos contando com você! Acabe com eles, X!",,
<!MissingKey:70:Defeated the Intro Stage Boss.>,Defeated the Intro Stage Boss.,Derrotou o Boss da Fase Inicial.,,
<!MissingKey:71:Of Course I'm Ok>,Of Course I'm Ok,,,
ANTONION6,"At any rate, if you choose to stand in my way, I'll destroy you!","De qualquer forma, se você escolher se por no meu caminho eu irei lhe destruir!","De cualquier forma, si eliges interponerte en mi camino, ¡Te destruiré!",
<!MissingKey:73:Defeated Bamboo Pandamonium without taking damage.>,Defeated Bamboo Pandamonium without taking damage.,,,
ANTONION5,"Maverick? Once again, you attach labels to me. What arrogance!",Maverick? Mais uma vez você tenta me rotular. Quanta arrogância!,"¿Maverick? Una vez más, intentas catalogarme. ¡Qué arrogancia!",
ANTONION4,Did he... Did Sigma make you go Maverick?,Será que... Sigma te transformou em um Maverick?,¿Acaso el... Sigma te hizo volverte Maverick?,
ANTONION3,I don't pursue my research just to earn praise from the likes of you.,Eu não realizo minha pesquisa para ganhar elogios de gente como você.,No realizo mi investigación solo para ganar elogios de alguien como tú.,
SKIP_DIAG_OPTION,Skippable Dialogs,Diálogos Puláveis,,
ANTONION2,Incredible scientist? Who are you to say such things?,Incrível cientista? Quem é você pra dizer isso?,¿Científico increíble ? ¿Quién eres tú para decir tales cosas?,
ANTONION1,Gravity Antonion... You used to be an incredible scientist. What happened?,Gravity Antonion... Você costumava ser um incrível cientista. O que aconteceu?,Gravity Antonion... Solías ser un científico increíble. ¿Qué sucedio?,
<!MissingKey:80:Hades>,Hades,,,
<!MissingKey:81:I Supose You're Satisfied>,I Supose You're Satisfied,,,
ICARUSHEAD_NAME,Head Parts I,,Parte de Cabeza I,
ARMORSETUP_TITLE,Armor Setup,Armadura,Armadura,Fashion Souls
RESET_ACHIEV,Clear Achievements Progress,Apagar Progresso Conquistas,,
PANDARIDEREACHED_DISC,Reached the end of Booster Forest with the Cyclops.,,,
<!MissingKey:86:Used DebugMode.>,Used DebugMode.,Usou Modo Debug.,,
<!MissingKey:87:Not After Praise>,Not After Praise,,,
<!MissingKey:88:Labeled Maverick>,Labeled Maverick,,,
<!MissingKey:89:Defeated Burn Rooster without equipping any upgrades.>,Defeated Burn Rooster without equipping any upgrades.,,,
DEFAULTBODY_DISC,Default part.,Parte padrão.,Parte Estandar,
VILEDEVILBEARDEFEATED_DISC,Defeated Devil Bear before finishing the battle.,,,
SUNFLOWERGOTSSSRANK_TITLE,Gravity Circuit,,,
<!MissingKey:93:Put an end to the darkness in Pitch Black.>,Put an end to the darkness in Pitch Black.,,,
<!MissingKey:94:Shining In The Darkness>,Shining In The Darkness,,,
<!MissingKey:95:Sole Purpose To Destroy>,Sole Purpose To Destroy,,,
OPTIONS_TITLE,OPTIONS,OPÇÕES,OPCIONES,OPÇÕES
HERMESBODY_NAME,Body Parts H,Body Parts H,Parte de Cuerpo H,
OFF_VALUE,OFF,Desl.,OFF,Desl.
<!MissingKey:99:Defeated Gigabolt Manowar without taking damage.>,Defeated Gigabolt Manowar without taking damage.,,,
OPTIONS_START,OPTION MODE,MODO OPÇÕES,MODO DE OPCIONES,MEXER NUNS TRECO
<!MissingKey:101:Defeated Earthrock Trilobyte without using special weapons.>,Defeated Earthrock Trilobyte without using special weapons.,,,
HERMESARMS1,"X... I thought something like this might happen someday, so I've prepared parts for you.","X... Imaginei que algo assim poderia acontecer, então preparei partes para você.","X... Pensé que algo así podría suceder algún día, así que he preparado partes para ti.",
DEFAULTLEGS_DISC,Default part. Can air dash.,Parte padrão. Dash aéreo.,Parte Estandar. Dash Aéreo,
LOADOUT_DISC,Choose your loadout.,Escolha sua armadura,Elige Tu Armadura,3 por 15
ICARUSHEAD2,Here you are... Head Parts I.,Tome este capacete... Head Parts I.,Aqui tienes... Parte de Cabeza I.,
DEFAULTBODY_NAME,Defaul Body,Peitoral Padrão,Peto Estandar,
ICARUSHEAD3,"With this part equipped, you will cause damage to enemies by jumping near them.",Com esta parte equipada você causará dano ao pular próximo de inimigos.,"Con esta parte equipada, causarás daño a los enemigos al saltar cerca de ellos.",
HERMESARMS5,"Board the capsule to equip this new ability, X.","Entre na cápsula para equipar esta nova habilidade, X.","Entra a la cápsula para equipar esta nueva habilidad, X.",
SURFEDONMISSILE_DISC,Surfed through the skies for 6 seconds.,,,
<!MissingKey:110:It's Too Late>,It's Too Late,,,
YETI_WPNMENU,D. Diamond,D. Diamond,D. Diamond,
<!MissingKey:112:Destroy... The old... world... New age...!>,Destroy... The old... world... New age...!,Destruir... O mundo... Nova era...!,,
<!MissingKey:113:Ahrrgh!>,Ahrrgh!,Ahrrgh!,,
MADE_BY,A solo project by,Um projeto solo por,,A poha toda feita por:
SUNFLOWER_WPNMENU,O. Shield,O. Shield,O. Shield,
<!MissingKey:116:Impossible! How... could you... You couldn't...! >,Impossible! How... could you... You couldn't...! ,Impossível! Como... você... Não...!,This dialog has been cut.,
VILE2-6,"Mayhem, doom and destruction! That's what we were built for!","Caos, ruína e desespero! Foi para isso que fomos construídos!","¡Caos, destrucción y ruina! ¡Para eso fuimos construidos!",
VILE2-4,"Look around you, fool! Your world has already begun to crumble!  Are you so dim as to think you're in a position to make demands?","Olhe a sua volta, idiota! Seu mundo já começou a desmoronar e você ainda pensa que pode fazer exigências?","¡Mira a tu alrededor, idiota! ¡Tu mundo ya ha comenzado a desmoronarse! ¿Eres tan tonto como para pensar que estás en posición de hacer demandas?",Parece que é abestado
VILE2-5,The world as you know it? Mavericks? Kiss it all goodbye!,O mundo que você conhecia? Mavericks? Pode dar adeus a tudo isso!,¿El mundo tal como lo conoces? ¿Mavericks? ¡Dile adiós a todo eso!,
FULLSCREEN_OPTION,Fullscreen,Tela Cheia,Pantalla Completa,Cobrir tudo
VILE2-2,I'm through chasing you down. Let Lumine go. Now!,Cansei de perseguir você. Liberte Lumine. Agora!,Me cansé de perseguirte. ¡Deja ir a Lumine. Ahora!,
VILE2-3,"Ha ha ha... Lumine? Always the positive thinker, aren't you?","Ha ha ha... Lumine? Sempre pensando positivo, né?","Ja ja ja... ¿Lumine? Siempre el pensador positivo, ¿Verdad?",
HERMESLEGS_DISC,Ground dash is immune to damage,Dash no chão é imune a dano.,Deslizamiento por el suelo es inmune al daño,
VILE1-1,Vile!,Vile!,Vile!,
HERMESBODY4,"Board the capsule to equip this new ability, X.","Entre na cápsula para equipar esta nova habilidade, X.","Entra a la cápsula para equipar esta nueva habilidad, X.",
SURFEDONMISSILE_TITLE,Bomb Rush Cyberfunk,,,
HERMESLEGS2,Try out these Foot Parts H.,Teste essas botas... Foot Parts H.,"Toma, prueba estas Parte de Botas H.",
SUNFLOWER6,No one has the right to put a stop to our plans!,Ninguém tem o direito de deter os nossos planos!,¡Nadie tiene derecho a detener nuestros planes!,
HERMESLEGS3,"It will grant your dash invincibility to enemy attacks, but only while on the ground.",Elas lhe concederão invencibilidade total a ataques inimigos durante o Dash no chão.,"Durante el Dash te dara invencibilidad contra los ataques enemigos, pero solo mientras estés en el suelo.",
ENDING2-4,Roger... ,Entendido... ,,
SUNFLOWER4,"Sorry to disappoint, but no one can control us.","Desculpe desapontá-lo, mas ninguém pode nos controlar.","Siento decepcionarte, pero nadie puede controlarnos.",
ENDING2-3,I’m headed back now... ,Estou retornando agora... ,,
HERMESBODY1,"X... I thought something like this might happen someday, so I've prepared parts for you.","X... Imaginei que algo assim poderia acontecer, então preparei partes para você.","X... Pensé que algo así podría suceder algún día, así que he preparado partes para ti.",
SUNFLOWER5,"We may not be the good guys, but we're no monsters.","Talvez nós não sejamos os mocinhos, mas com certeza não somos monstros.","Quizás no seamos los buenos, pero no somos monstruos.",
ENDING2-2,The enemy... Has been dealt with.,A missão... foi concluída.,,
SUNFLOWER2,You must have an inkling as to what we're after here.,Então me diga... O que você acha que estamos buscando?,Debes tener una idea de lo que estamos buscando aquí.,
ENDING2-1,This is X... ,Aqui é o X...,,
ACTION_CTG,Action,Ação,Acción,Ação
SUNFLOWER3,"You Mavericks... You're under Sigma's control, aren't you?","Vocês Mavericks... Estão todos sob o controle de Sigma, não é?","Ustedes los Mavericks... Están bajo el control de Sigma, ¿verdad?",
SUNFLOWER1,"X... Since you made it this far, you must have figured it out.","X... Se você chegou até aqui, suponho que deve ter entendido o que está acontecendo.","X... Dado que has llegado hasta aquí, debes haberlo descubierto.",
COLLECTFULLICARUS_DISC,Collected All Icarus Parts.,,,
LIGHT_VALUE,Light,Leve,,
<!MissingKey:143:Blast Launcher>,Blast Launcher,,,
<!MissingKey:144:No One Can Control Us>,No One Can Control Us,,,
<!MissingKey:145:Primrose>,Primrose,Laboratório Primula,Primavera,Chorrochó
<!MissingKey:146:Squeeze Bomb>,Squeeze Bomb,,,
SIGMA12,"Now, X... You will be destroyed along with the rest of this decayed world!","Agora, X... Você será destruído junto com esse seu mundo decaído!",,
SIGMA11,Wallow in despair and hopelessness! You are powerless in the face of the ruler of the new world!,Sinta a angústia e o desespero! Você é impotente perante o rei do novo mundo!,,
SIGMA10,The Jakob Project... The program that gave birth to the new generation Reploids... It only happened because of me!,O Projeto Jakob... O programa que deu origem aos Reploids de nova geração... Se deu por minha causa!,,
HERMESHEAD4,"Board the capsule to equip this new ability, X.","Entre na cápsula para equipar esta nova habilidade, X.","Entra a la cápsula para equipar esta nueva habilidad, X.",
HERMESHEAD1,"X... I thought something like this might happen someday, so I've prepared parts for you.","X... Imaginei que algo assim poderia acontecer, então preparei partes para você.","X... Pensé que algo así podría suceder algún día, así que he preparado partes para ti.",
<!MissingKey:152:Defeated Sigma without taking damage.>,Defeated Sigma without taking damage.,,,
HERMESBODY_DISC,Buster hits heal damage taken.,Acertar Buster cura dano tomado.,Los golpes del Buster curan el daño recibido,
HERMESHEAD3,This part will increase your weapons' charge speed when equipped.,Este capacete irá acelerar o tempo de carregamento da sua Buster.,Esta casco aumentará la velocidad de carga de tu Buster cuando esté equipado.,
HERMESHEAD2,"This time, I want you to try Head Parts H.","Desta vez, quero que teste este capacete... Head Parts H.","Esta vez, quiero que pruebes la Parte de Cabeza H.",
LEFT_ACT,left,esquerda,Izquierda,esquerda
<!MissingKey:157:Defeated Gravity Antonion without equipping any upgrades.>,Defeated Gravity Antonion without equipping any upgrades.,,,
DEFAULTHEAD_NAME,Default Head,Capacete Padrão,Casco Estandar,
<!MissingKey:159:You get>,You get,Você obteve,Obtienes,
MANOWAR_NAME,Gigabolt Manowar,Gigabolt Manowar,,Geléia Manauara
<!MissingKey:161:Defeated any of the Maverick Bosses.>,Defeated any of the Maverick Bosses.,,,
<!MissingKey:162:Do You Have What it Takes?>,Do You Have What it Takes?,,,
MANOWAR_WPNMENU,T. Dancer,T. Dancer,T. Dancer,
<!MissingKey:164:Defeated Sigma without equipping any upgrades.>,Defeated Sigma without equipping any upgrades.,,,
HERMESARMS_NAME,Buster Parts H,Buster Parts H,Partes de Cañon H,
DEBUGACHIEVTITLE,Locked Achievement…,Conquista Bloqueada…,,
HERMESLEGS4,"Board the capsule to equip this new ability, X.","Entre na cápsula para equipar esta nova habilidade, X.","Entra a la cápsula para equipar esta nueva habilidad, X.",
<!MissingKey:168:Reached the end of Primrose without rotating the Stage.>,Reached the end of Primrose without rotating the Stage.,,,
X_WPNMENU,X. Buster,X. Buster,X. Buster,
HERMESBODY3,"With this part equipped, you will be able to heal damage taken by hitting or destroying enemies.",Com esta parte equipada você será capaz de recuperar vida ao acertar um inimigo logo após receber dano.,"Con esta parte equipada, podrás curar el daño recibido golpeando o destruyendo enemigos con tu Buster",
HERMESBODY2,Here... Try Body Parts H.,Aqui está... Este peitoral chama-se Body Parts H.,Toma...  Este peto es la Parte de Cuerpo H.,
HERMESLEGS1,"X... I thought something like this might happen someday, so I've prepared parts for you.","X... Imaginei que algo assim poderia acontecer, então preparei partes para você.","X... Pensé que algo así podría suceder algún día, así que he preparado partes para ti.",
<!MissingKey:173:Never Thought Yourself?>,Never Thought Yourself?,,,
<!MissingKey:174:Old Heaps of Junk>,Old Heaps of Junk,,,
<!MissingKey:175:Pitch Black>,Pitch Black,Arsenal Soturno,Oscuridad Total,Santa Rita do Passa Quatro
MANTIS_WPNMENU,D. Arrow,D. Arrow,D. Arrow,
MANOWAR6,Has Sigma made you go Maverick?,Me responda... Sigma fez você se tornar um Maverick?,¿Sigma te ha convertido en un Maverick?,
MANOWAR7,I'm no Maverick... I'm in complete control of myself and my actions...,Eu não sou um Maverick... Estou no controle das minhas próprias ações...,Yo no soy un Maverick... Tengo completo control de mí mismo y mis acciones...,
<!MissingKey:179:Your World Has Decayed>,Your World Has Decayed,,,
MANOWAR4,"...I'm not doing anything wrong... Who are you, anyway?",...Eu não estou fazendo nada de errado... Quem é você?,"...No estoy haciendo nada malo... ¿Quién eres tú, de todos modos?",quem é vc na fila do pão
MANOWAR5,I'm Mega Man X. I'm a Maverick Hunter.,Eu sou Mega Man X. Sou um Caçador de Mavericks.,"Yo soy Mega Man X, un  Cazador de Mavericks.",
MANOWAR2,"Return Abel City's energy supply to normal! If you don't, the city will be destroyed!","Retorne o suprimento de energia de Abel City ao normal! Se não, a cidade será destruida!","¡Devuelve el suministro de energía de Abel City a la normalidad! ¡Si no lo haces, la ciudad será destruida!",
ENDING1-4,Ha ha ha... I can see you've started to realize the situation...,Ha ha ha... Eu consigo ver em seu rosto que você percebeu...,,
MANOWAR3,... ... ...,... ... ...,... ... ...,
ENDING1-5,"This won't end with me, X... I can assure you that...","Isso não vai terminar comigo, X... Outros virão...",,
COLLECTALLHEARTS_TITLE,Strider,,,
ENDING1-6,...,...,,
MANOWAR1,Gigabolt Manowar! ,Gigabolt Manowar! ,Gigabolt Manowar!,
ENDING1-7,Ugh! I can’t stand this pain anymore... Just... Make it quick...,Agh! Não aguento mais essa dor..  Acabe... Logo com isso...,,
PELEDOSGAMES_TITLE,Athlete of the Century,,,
ENDING1-2,Unbelievable...,Inacreditável...,,
ENDING1-3,You may have defeated me... But it's too late to stop what's already begun...,"Você pode ter me derrotado, X... Mas já é tarde demais para parar o que começamos...",,
MANOWAR8,I'm working hard to realize our dream of a new world...!,Eu estou trabalhando duro para realizar nosso sonho de um novo mundo...!,¡Estoy trabajando muy duro para hacer realidad nuestro sueño de un mundo nuevo...!,
<!MissingKey:194:Defeated the Final Boss without equipping any upgrades.>,Defeated the Final Boss without equipping any upgrades.,,,
MANOWAR9,You've gone Maverick! I'll have to stop you!,Você se tornou um Maverick! Vou ter que te impedir!,¡Te has vuelto Maverick! ¡Tendré que detenerte!,
<!MissingKey:196:Piecing it Together>,Piecing it Together,,,
FINALLUMINE29,Ha ha...! Don't make me laugh...,Ha ha...! Não me faça rir...,,
FINALLUMINE28,And you think you can stand up to those of us who have evolved this far?,"Pensa que pode enfrentar a nós, que evoluímos a esse ponto?",,
FINALLUMINE23,In other words...,Em outras palavras...,,
FINALLUMINE9,That's why you are hesitating. You don't have it in you...,É por isso que você está hesitando em lutar.,,
FINALLUMINE22,That's why our decision to wage battle against the old world was made consciously.,Por isso nós conscientemente tomamos a decisão de lutar contra este seu mundo.,,
FINALLUMINE8,"Maverick? You know that's not the case, X.","Maverick? Você sabe que este não é o caso, X...",,
FINALLUMINE21,Humans using Reploids to perpetuate their accursed cycle of aggression...,Humanos usando Reploids para perpetuar um terrível ciclo de violência...,,
FINALLUMINE20,"Even so, his struggle showed all of us how this world is rotten!","Mesmo assim, ele mostrou a todos o quanto o seu mundo está podre!",,
ROOSTER7,"What does Sigma plan to do? You know, he's just using you. Nothing more!","Acalme-se, Burn Rooster! É Sigma quem está te manipulando! Ele pretende apenas te usar, nada mais!","¿Qué planea hacer Sigma? Sabes, solo te está usando. ¡Nada más!",
FINALLUMINE27,You're merely a tool of the humans. Nothing but a tool of the old world...,Você é só uma ferramenta dos humanos. Nada mais do que isso.,,
ROOSTER6,This is what you mean when you speak of justice? It's you who should be scrapped!,E você chama isso de justiça? Você é quem deveria ser atirado aqui!,¿Esto es lo que quieres decir cuando hablas de justicia? ¡Deberías ser tú quien sea desechado!,
FINALLUMINE26,X... Do you really have what it takes to stop us?,X... Você acha que tem o que é preciso para nos deter?,,
ROOSTER5,Mavericks bring only disaster and destruction! We have no choice but to stop them!,Mavericks trazem apenas destruição! Não temos escolha a não ser detê-los!,¡Los Mavericks solo traen desastre y destrucción! ¡No tenemos más opción que detenerlos!,
FINALLUMINE10,...!,...!,,
<!MissingKey:211:The Ore We Mine>,The Ore We Mine,,,
ROOSTER4,This is no ordinary riot. This is revenge for all the Reploids you labeled Maverick and threw onto this scrap heap!,Essa não é uma revolta qualquer. Isso é uma vingança em nome de todos os que você chamou de Maverick e atirou aqui!,Esto no es un motín ordinario. ¡Esto es venganza por todos los Reploides que etiquetaste como Maverick y arrojaste a este montón de chatarra!,
FINALLUMINE3,"Now that you you've defeated Sigma, I supose you're satisfied.",Imagino que esteja satisfeito agora que derrotou Sigma.,,
FINALLUMINE24,We possess the power to go Maverick at will!,Nós podemos escolher nos tornar Maverick!,,
ROOSTER3,"Burn Rooster, why have you started a riot? Is Sigma controlling you?","Burn Rooster, por que você iniciou uma revolta? Por acaso Sigma está lhe controlando?","Burn Rooster, ¿por qué has comenzado un motín? ¿Sigma te está controlando?",
FINALLUMINE2,Am I OK...? Of course.,"Se eu estou bem? 
É claro que estou.",,
DT_DASH_OPTION,Double tap dash,Dash 2x pra frente,2x toque para deslizar,Isso n é jogo de luta carai
ROOSTER2,It's the borderline waste disposal center. Where garbage is pressurized and burned...,Aqui é o centro de descartes. Onde o lixo é compactado e incinerado...,Es el centro de eliminación de residuos en la frontera. Donde la basura es presurizada y quemada...,
FINALLUMINE1,"Oh, Lumine! Are you OK?",Lumine! Você está bem?,,
ROOSTER1,"Do you know what this place is, X?","Sabe que lugar é esse, X?","¿Sabes qué es este lugar, X?",
<!MissingKey:221:Hope Remains>,Hope Remains,,,
FINALLUMINE7,"Don't tell me you've gone Maverick, too...",Não me diga que você também se tornou Maverick...,,
FINALLUMINE6,Lumine! What are you doing!?,Lumine! O que está dizendo!?,,
<!MissingKey:224:Defeated Dark Mantis without taking damage.>,Defeated Dark Mantis without taking damage.,,,
FINALLUMINE5,The new generation Reploids have been awakened and the new world is at hand!,Nós Reploids de nova geração despertamos e o novo mundo está próximo!,,
FINALLUMINE4,"But you see, he merely helped my plan along...",Mas ele apenas contribuiu com meu plano...,,
ICARUSBODY2,"This time, I want you to try out Body Parts I.","Desta vez, quero que teste este peitoral... Body Parts I.","Esta vez, quiero que pruebes las Partes de Cuerpo I.",
ROOSTER9,There's no place for Reploids like you in the new world we will create!,Não existirá lugar para Reploids como você no mundo que vamos criar!,¡No hay lugar para Reploids como tú en el nuevo mundo que crearemos!,
ICARUSBODY3,"If you equip this, you will take less damage than you normally would, and enemies will not be able to knock you back.",Se você equipar esta parte receberá menos dano do que o normal e inimigos não poderão lhe empurrar.,"Si equipas esto, recibirás menos daño de lo que normalmente harías, y los enemigos no podrán empujarte hacia atrás.",
ROOSTER8,"Using me? If that's the price I have to pay to bring about the new world, so be it!","Me usando? Se esse é o preço que eu preciso pagar para criar um novo mundo, que assim seja!","¿Usarme? ¡Si ese es el precio que debo pagar para llevar a cabo el nuevo mundo, que así sea!",
ICARUSARMS1,"X... I thought something like this might happen someday, so I've prepared parts for you.","X... Imaginei que algo assim poderia acontecer, então preparei partes para você.","X... Pensé que algo así podría suceder algún día, así que he preparado partes para ti.",
SUNFLOWERGOTSSSRANK_DISC,Got S Rank in all challenges in a single run.,,,
ICARUSARMS5,"Board the capsule to equip this new ability, X.","Entre na cápsula para equipar esta nova habilidade, X.","Entra a la cápsula para equipar esta nueva habilidad, X.",
<!MissingKey:234:Avoided all Seachlights in Pitch Black.>,Avoided all Seachlights in Pitch Black.,,,
GATEWAYFIESTA_DISC,Survived through the hardest challenge in Gateway.,,,
<!MissingKey:236:Crystal Bouncer>,Crystal Bouncer,,,
<!MissingKey:237:Defeated the Impostor without taking damage.>,Defeated the Impostor without taking damage.,,,
GIGACRUSHKILL_TITLE,Cataclysm,,,
<!MissingKey:239:Defeated Bamboo Pandamonium without using special weapons.>,Defeated Bamboo Pandamonium without using special weapons.,,,
COLLECTALLSUBTANKS_DISC,Collected All Sub Tanks.,,,
<!MissingKey:241:Not Doing Anything Wrong>,Not Doing Anything Wrong,,,
PERFECTKILL_DISC,"Defeated any Boss without using special weapons, without taking damage and without upgrades.",,,
<!MissingKey:243:Defeated Optic Sunflower without using special weapons.>,Defeated Optic Sunflower without using special weapons.,,,
<!MissingKey:244:Defeated Burn Rooster without using special weapons.>,Defeated Burn Rooster without using special weapons.,,,
ICARUSBODY1,"X... I thought something like this might happen someday, so I've prepared parts for you.","X... Imaginei que algo assim poderia acontecer, então preparei partes para você.","X... Pensé que algo así podría suceder algún día, así que he preparado partes para ti.",
