key,en,br,es,pr
MANOWAR8,I'm working hard to realize our dream of a new world...!,Eu estou trabalhando duro para realizar nosso sonho de um novo mundo...!,¡Estoy trabajando muy duro para hacer realidad nuestro sueño de un mundo nuevo...!,
ICARUSHEAD_NAME,Head Parts I,,,
MANTIS6,Dark Mantis... Your actions are those of a Maverick!,Dark Mantis... Suas ações são as de um Maverick!,Dark Mantis... ¡Tus acciones son las de un Maverick!,
MANOWAR9,You've gone Maverick! I'll have to stop you!,Você se tornou um Maverick! Vou ter que te impedir!,¡Te has vuelto Maverick! ¡Tendré que detenerte!,
SUNFLOWER1,"X... Since you made it this far, you must have figured it out.","X... Se você chegou até aqui, suponho que deve ter entendido o que está acontecendo.","X... Dado que has llegado hasta aquí, debes haberlo descubierto.",
MANTIS1,Hey! What's a Maverick Hunter doing here?,Ei! O que um Caçador de Mavericks está fazendo aqui?,¡Oye! ¿Qué hace un Cazador de Mavericks aquí?,
CONFIRM_ACT,menu confirm,confirmar,Confirmar,confirmar
MANTIS3,"We new generation Reploids are designed so that we can't go Maverick, kid.","Nós Reploids de Nova Geração fomos criados de forma que não podemos nos tornar Mavericks, garoto.","Nosotros los Reploids de nueva generación, estamos diseñados para que no podamos volvernos Maverick, chico.",
MANTIS2,Dark Mantis... You've gone Maverick. I'm putting an end to your weapons production.,Dark Mantis. Você é um Maverick. Estou pondo um fim a sua produção de armas.,Dark Mantis... Te has vuelto Maverick. Le pondre fin a tu producción de tus armas.,Esperança preta
<!MissingKey:87:Destroy... The old... world... New age...!>,Destroy... The old... world... New age...!,Destruir... O mundo... Nova era...!,,
<!MissingKey:88:Ahrrgh!>,Ahrrgh!,Ahrrgh!,,
<!MissingKey:89:Impossible! How... could you... You couldn't...! >,Impossible! How... could you... You couldn't...! ,Impossível! Como... você... Não...!,,
JOYPAD_CTG,Joypad,Controle,Joystick,Controle
DEFAULTLEGS_NAME,Default Foot,Botas Padrão,Botas Estandar,
OPTIONS_ABV,OPTIONS,OPÇÕES,OPCIONES,CUIDADO PRA NÃO ZOAR
ACTION_CTG,Action,Ação,Acción,Ação
WPNUP_ACT,wheel up,roda cima,,
INTRO2-13,"I see. Hold tight, I'll signal my team to send in the rescue-",,,
INTRO2-12,I'm the director in charge of the elevator and the Jakob Project.,,,
INTRO2-11,I'm Lumine... ,,,
INTRO2-10,Who are you?,,,
TRILOBYTE_WPNMENU,C. Bouncer,C. Bouncer,C. Bouncer,
ROOSTER7,"What does Sigma plan to do? You know, he's just using you. Nothing more!","Acalme-se, Burn Rooster! É Sigma quem está te manipulando! Ele pretende apenas te usar, nada mais!","¿Qué planea hacer Sigma? Sabes, solo te está usando. ¡Nada más!",
ROOSTER6,This is what you mean when you speak of justice? It's you who should be scrapped!,E você chama isso de justiça? Você é quem deveria ser atirado aqui!,¿Esto es lo que quieres decir cuando hablas de justicia? ¡Deberías ser tú quien sea desechado!,
ICARUSLEGS_DISC,Can double jump and air dash.,Pulo duplo e Dash aéreo.,Doble salto y Dash aéreo,
ROOSTER5,Mavericks bring only disaster and destruction! We have no choice but to stop them!,Mavericks trazem apenas destruição! Não temos escolha a não ser detê-los!,¡Los Mavericks solo traen desastre y destrucción! ¡No tenemos más opción que detenerlos!,
ROOSTER4,This is no ordinary riot. This is revenge for all the Reploids you labeled Maverick and threw onto this scrap heap!,Essa não é uma revolta qualquer. Isso é uma vingança em nome de todos os que você chamou de Maverick e atirou aqui!,Esto no es un motín ordinario. ¡Esto es venganza por todos los Reploides que etiquetaste como Maverick y arrojaste a este montón de chatarra!,
ROOSTER3,"Burn Rooster, why have you started a riot? Is Sigma controlling you?","Burn Rooster, por que você iniciou uma revolta? Por acaso Sigma está lhe controlando?","Burn Rooster, ¿por qué has comenzado un motín? ¿Sigma te está controlando?",
ROOSTER2,It's the borderline waste disposal center. Where garbage is pressurized and burned...,Aqui é o centro de descartes. Onde o lixo é compactado e incinerado...,Es el centro de eliminación de residuos en la frontera. Donde la basura es presurizada y quemada...,
KEYCFG_TITLE,KEY CONFIG,CONFIGURAÇÃO DE BOTÕES,CONFIGURACIÓN DE BOTONES,DEIXA O DASH NO A
ROOSTER1,"Do you know what this place is, X?","Sabe que lugar é esse, X?","¿Sabes qué es este lugar, X?",
"<!MissingKey:109:And we're all counting on you! Crush them all, X!>","And we're all counting on you! Crush them all, X!","E todos estamos contando com você! Acabe com eles, X!",,
DT_DASH_OPTION,Double tap dash,Dash 2x pra frente,2x toque para deslizar,Isso n é jogo de luta carai
ROOSTER9,There's no place for Reploids like you in the new world we will create!,Não existirá lugar para Reploids como você no mundo que vamos criar!,¡No hay lugar para Reploids como tú en el nuevo mundo que crearemos!,
ROOSTER8,"Using me? If that's the price I have to pay to bring about the new world, so be it!","Me usando? Se esse é o preço que eu preciso pagar para criar um novo mundo, que assim seja!","¿Usarme? ¡Si ese es el precio que debo pagar para llevar a cabo el nuevo mundo, que así sea!",
FULLSCREEN_OPTION,Fullscreen,Tela Cheia,Pantalla Completa,Cobrir tudo
ICARUSBODY_NAME,Body Parts I,,,
OFF_VALUE,OFF,Desl.,OFF,Desl.
KEYBOARD_CTG,Keyboard,Teclado,Teclado,Teclado
ANTONION_WPNMENU,S. Bomb,S. Bomb,S. Bomb,
ON_VALUE,ON,Ativo,ON,Ativo
JUMP_ACT,jump,pulo,Salto,pulo
<!MissingKey:120:Fire Dash>,Fire Dash,,,
HERMESHEAD4,"Board the capsule to equip this new ability, X.","Entre na cápsula para equipar esta nova habilidade, X.","Entra a la cápsula para equipar esta nueva habilidad, X.",
EXIT_BUTTON,Exit,Sair,Salir,Vazar
HERMESHEAD1,"X... I thought something like this might happen someday, so I've prepared parts for you.","X... Imaginei que algo assim poderia acontecer, então preparei partes para você.","X... Pensé que algo así podría suceder algún día, así que he preparado partes para ti.",
HERMESHEAD3,This part will increase your weapons' charge speed when equipped.,Este capacete irá acelerar o tempo de carregamento da sua Buster.,Esta casco aumentará la velocidad de carga de tu Buster cuando esté equipado.,
HERMESHEAD2,"This time, I want you to try Head Parts H.","Desta vez, quero que teste este capacete... Head Parts H.","Esta vez, quiero que pruebes las Head Parts H.",
<!MissingKey:126:Dynasty>,Dynasty,Usina Dinastia,,Marginal do Tietê
STAGE_DC,Stage,Fase,Nivel,Engenho
SOUND_OPTION,Sound Volume,Volume dos Sons,Volumen de los Sonidos,Zoada
ANTONION6,"At any rate, if you choose to stand in my way, I'll destroy you!","De qualquer forma, se você escolher se por no meu caminho eu irei lhe destruir!","De cualquier forma, si eliges interponerte en mi camino, ¡Te destruiré!",
HERMESLEGS4,"Board the capsule to equip this new ability, X.","Entre na cápsula para equipar esta nova habilidade, X.","Entra a la cápsula para equipar esta nueva habilidad, X.",
ANTONION5,"Maverick? Once again, you attach labels to me. What arrogance!",Maverick? Mais uma vez você tenta me rotular. Quanta arrogância!,"¿Maverick? Una vez más, intentas catalogarme. ¡Qué arrogancia!",
<!MissingKey:132:Primrose>,Primrose,Laboratório Primula,,Chorrochó
ANTONION4,Did he... Did Sigma make you go Maverick?,Será que... Sigma te transformou em um Maverick?,¿Acaso el... Sigma te hizo volverte Maverick?,
HERMESLEGS2,Try out these Foot Parts H.,Teste essas botas... Foot Parts H.,"Toma, prueba estas Foot Parts H",
DEFAULTARMS_DISC,Default part.,Parte padrão.,Parte Estandar,
ANTONION3,I don't pursue my research just to earn praise from the likes of you.,Eu não realizo minha pesquisa para ganhar elogios de gente como você.,No realizo mi investigación solo para ganar elogios de alguien como tú.,
HERMESLEGS3,"It will grant your dash invincibility to enemy attacks, but only while on the ground.",Elas lhe concederão invencibilidade total a ataques inimigos durante o Dash no chão.,"Durante el Dash te dara invencibilidad contra los ataques enemigos, pero solo mientras estés en el suelo.",
ANTONION2,Incredible scientist? Who are you to say such things?,Incrível cientista? Quem é você pra dizer isso?,¿Científico increíble ? ¿Quién eres tú para decir tales cosas?,
SHOT_ACT,shot,tiro,Disparo,tiro
ANTONION1,Gravity Antonion... You used to be an incredible scientist. What happened?,Gravity Antonion... Você costumava ser um incrível cientista. O que aconteceu?,Gravity Antonion... Solías ser un científico increíble. ¿Qué sucedio?,
HERMESLEGS1,"X... I thought something like this might happen someday, so I've prepared parts for you.","X... Imaginei que algo assim poderia acontecer, então preparei partes para você.","X... Pensé que algo así podría suceder algún día, así que he preparado partes para ti.",
ROOSTER_WPNMENU,F. Dash,F. Dash,F. Dash,
MADE_BY,A solo project by,Um projeto solo por,,A poha toda feita por:
<!MissingKey:144:Drift Diamond>,Drift Diamond,,,
VILE2-6,"Mayhem, doom and destruction! That's what we were built for!","Caos, ruína e desespero! Foi para isso que fomos construídos!","¡Caos, destrucción y ruina! ¡Para eso fuimos construidos!",
VILE2-4,"Look around you, fool! Your world has already begun to crumble!  Are you so dim as to think you're in a position to make demands?","Olhe a sua volta, idiota! Seu mundo já começou a desmoronar e você ainda pensa que pode fazer exigências?","¡Mira a tu alrededor, idiota! ¡Tu mundo ya ha comenzado a desmoronarse! ¿Eres tan tonto como para pensar que estás en posición de hacer demandas?",Parece que é abestado
DEFAULTHEAD_NAME,Default Head,Capacete Padrão,Casco Estandar,
VILE2-5,The world as you know it? Mavericks? Kiss it all goodbye!,O mundo que você conhecia? Mavericks? Pode dar adeus a tudo isso!,¿El mundo tal como lo conoces? ¿Mavericks? ¡Dile adiós a todo eso!,
VILE2-2,I'm through chasing you down. Let Lumine go. Now!,Cansei de perseguir você. Liberte Lumine. Agora!,Me cansé de perseguirte. ¡Deja ir a Lumine. Ahora!,
VILE2-3,"Ha ha ha... Lumine? Always the positive thinker, aren't you?","Ha ha ha... Lumine? Sempre pensando positivo, né?","Ja ja ja... ¿Lumine? Siempre el pensador positivo, ¿Verdad?",
VILE1-1,Vile!,Vile!,Vile!,
UP_ACT,up,cima,Arriba,cima
<!MissingKey:153:Inferno>,Inferno,Incinerador Inferno,,Favela do Gato Morto
INSPIRED_BY,Inspired by,Inspirado pela,Inspirado por,Inspirado pela
NEXT_ACT,next weapon,proxima arma,Arma Siguiente,proxima arma
YETI_WPNMENU,D. Diamond,D. Diamond,D. Diamond,
HERMESLEGS_DISC,Ground dash is immune to damage,Dash no chão é imune a dano.,Deslizamiento por el suelo es inmune al daño,
DEFAULTBODY_DISC,Default part.,Parte padrão.,Parte Estandar,
<!MissingKey:159:Thunder Dancer>,Thunder Dancer,,,
LOADOUT_DISC,Choose your loadout.,Escolha sua armadura,Elige Tu Armadura,3 por 15
ARMORABILITY_ACT,armor ability,ataque esp.,,
GAME_START,GAME  START,INICIAR JOGO,INICIAR JUEGO,COMEÇAR ESSA PORRA
DEFAULTBODY_NAME,Defaul Body,Peitoral Padrão,Peto Estandar,
DEFAULTLEGS_DISC,Default part. Can air dash.,Parte padrão. Dash aéreo.,Parte Estandar. Dash Aéreo,
KEYCFG_ABV,KEYCFG,CONFIG,CONFIG,CONFIG
ROOSTER_NAME,Burn Rooster,Burn Rooster,,Frango de Padaria
KEYCFG_START,KEY  CONFIG,CONFIGURAR CONTROLES,CONFIGURAR CONTROLES,CONTROLE ZOADO
FPS_OPTION,Target FPS,FPS Alvo,FPS Objetivo,Seu PC não tanka
<!MissingKey:169:Central White>,Central White,Central Alva,,Trombudo Central
INTRO1-3,"This plan is called the ""Jakob Project"" and an Orbital Elevator was built as part of it.",,,
INTRO1-2,"Humans however have begun migration to the moon, thanks to new technology.",,,
<!MissingKey:172:Booster Forest>,Booster Forest,Floresta Ergânica,,Paudalho
INTRO1-1,"In the year 21XX, the endless Maverick rebellions continue.",,,
<!MissingKey:174:Metal Valley>,Metal Valley,Vale do Metal,,Caucaia
VILE4-4,I'll defeat both you and Sigma!,Derrotarei tanto você quanto Sigma!,,
INTRO1-5,"However, a sudden accident is bound to change the destiny of all involved...",,,
VILE4-5,Ha ha ha... I suppose it'd be a waste to just destroy you now...,Ha ha ha... Seria um desperdício destruir você agora...,,
INTRO1-4,Highly advanced new generation Reploids have been brought to the moon's surface to work.,,,
ENDING1-4,Ha ha ha... I can see you've started to realize the situation...,Ha ha ha... Eu consigo ver em seu rosto que você percebeu...,,
<!MissingKey:180:Squeeze Bomb>,Squeeze Bomb,,,
ICARUSARMS_DISC,Charged shots consume no ammo.,Carregados não gastam munição.,Tiros cargados no consumen munición,
VILE4-6,Maybe I'll wait till the last possible moment and have a little fun with this!,Vou me divertir e só acabar com você no último segundo!,,
ENDING1-5,"This won't end with me, X... I can assure you that...","Isso não vai terminar comigo, X... Outros virão...",,
ENDING1-6,...,...,,
YETI_NAME,Avalanche Yeti,Avalanche Yeti,,Aval Lanches e Vet.
ENDING1-7,Ugh! I can’t stand this pain anymore... Just... Make it quick...,Agh! Não aguento mais essa dor..  Acabe... Logo com isso...,,
VILE4-1,"So, you still refuse to give up your struggle, eh?","Ainda se recusando a desistir, não é?",,
HERMESARMS_DISC,Weapon shots consume no ammo.,Tiros de Arma não gastam munição.,Los disparos del Arma no consumen munición,
VILE4-2,Are you so blind that you've somehow convinced yourself that hope remains?,Está tão cego que conseguiu se convencer que ainda existe esperança?,,
PANDA_WPNMENU,B. Launcher,B. Launcher,B. Launcher,
VILE4-3,"As long as I'm standing, there's hope!","Enquanto eu estiver lutando, existirá esperança!",,
ENDING1-2,Unbelievable...,Inacreditável...,,
ENDING1-3,You may have defeated me... But it's too late to stop what's already begun...,"Você pode ter me derrotado, X... Mas já é tarde demais para parar o que começamos...",,
HERMESBODY_DISC,Buster hits heal damage taken.,Acertar Buster cura dano tomado.,Los golpes del Buster curan el daño recibido,
DEFAULTARMS_NAME,Default Buster,Canhão Padrão,Cañón Estandar,
INTRO3-5,That's right. The Orbital Elevator is under our control now...,,,
INTRO3-4,Let Lumine go!,,,
HERMESARMS4,"Your weapons will also not consume energy when fired, except when you perform a Charge Shot.","Além disso, suas Armas não consomem energia quando disparadas, exceto quando você usar um Tiro Carregado.","Tus armas tampoco consumirán energía al disparar, excepto cuando realices un Disparo Cargado.",
INTRO3-7,"It begins now, X... A new world will be born! Ha ha ha!",,,
CLEARSAVE_CONFIRM,Press again to confirm,Pressione novamente para confirmar,Presiona Nuevamente Para Confirmar,Pressione novamente para confirmar
ICARUSARMS5,"Board the capsule to equip this new ability, X.","Entre na cápsula para equipar esta nova habilidade, X.","Entra a la cápsula para equipar esta nueva habilidad, X.",
INTRO3-6,Just what do you plan to do?!,,,
INTRO3-1,"How nice to see you again, X!",,,
INTRO3-3,"Ha ha ha... I'd love to stay and play with you, but I'm afraid I have too much work to do...",,,
ICARUSARMS1,"X... I thought something like this might happen someday, so I've prepared parts for you.","X... Imaginei que algo assim poderia acontecer, então preparei partes para você.","X... Pensé que algo así podría suceder algún día, así que he preparado partes para ti.",
INTRO3-2,Vile!?,,,
HERMESARMS2,"Here, try these Buster Parts H.",Teste esse canhão... Buster Parts H.,"Toma, prueba estas Buster Parts H.",
OPTIONS_START,OPTION MODE,MODO OPÇÕES,MODO DE OPCIONES,MEXER NUNS TRECO
SUNFLOWER_NAME,Optic Sunflower,Optic Sunflower,,Óleo de Girassol
HERMESARMS3,Equipping this part will grant you a Spread Shot Charge Attack.,Equipar esta parte lhe dará acesso a um poderoso Tiro Carregado que se propaga em três direções.,"Al equipar esta parte, obtendrás un Ataque Cargado de Disparo Amplio.",
HERMESHEAD_NAME,Head Parts H,,,
<!MissingKey:212:From now on we will be fighting not only Mavericks...>,From now on we will be fighting not only Mavericks...,"A partir de agora, não lutaremos apenas com Mavericks...",,
<!MissingKey:213:But also Reploids who honestly believe they are right in their views.>,But also Reploids who honestly believe they are right in their views.,"Mas também contra Reploids igual a nós, apenas com pensamentos diferentes.",,
MANOWAR_NAME,Gigabolt Manowar,Gigabolt Manowar,,Geléia Manauara
"<!MissingKey:215:""Awakening""... That's how Lumine described it.>","""Awakening""... That's how Lumine described it.","""Despertar""... Foi como Lumine descreveu.",,
<!MissingKey:216:He said this was evolution... That they were acting on their own free will...>,He said this was evolution... That they were acting on their own free will...,Ele disse que era evolução... Que eles escolheram agir como agiram...,,
<!MissingKey:217:I bet you've been thinking about what Lumine was saying a while ago...>,I bet you've been thinking about what Lumine was saying a while ago...,Aposto que você está pensando no que Lumine falou agora a pouco...,,
VILE1-5,The Orbital Elevator is too important to us to hurt the one who operates it.,O Elevador Orbital é importante demais para machucarmos quem o opera.,El Elevador Orbital es muy importante para nosotros como para hacerle daño a quien lo opera.,
<!MissingKey:219:Just becoming Sigma could hardly be called evolution.>,Just becoming Sigma could hardly be called evolution.,Agir como Sigma mal dá pra ser chamado de evolução.,,
ARMORSETUP_TITLE,Armor Setup,Armadura,Armadura,Fashion Souls
VILE1-4,Don't worry about our little Lumine. We're taking great care of them. Ha ha ha...,Não se preocupe com nosso querido Lumine. Estamos cuidando bem dele. Ha ha ha...,No te preocupes por nuestra pequeña Lumine. Estamos cuidándola muy bien. Ja ja ja...,
<!MissingKey:222:Gateway>,Gateway,Satélite de Acesso,Punto de Entrada,Arroio dos Ratos
<!MissingKey:223:From what he said... Sigma won't be coming back.>,From what he said... Sigma won't be coming back.,"Se o que Lumine disse for verdade, Sigma não vai voltar.",,
VILE1-7,The Jakob Project is an important joint venture between humans and reploids!,O Projeto Jakob é uma importante colaboração entre humanos e Reploids!,¡El Proyecto Jakob es un importante proyecto entre Humanos y Reploides!,
